name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,release_year,mood,Year
23,23,Blonde Redhead,http://open.spotify.com/track/4HIwL9ii9CcXpTOTzMq0MP,2007-04-16,43,318800,0.381,0.0189,0.8320000000000001,0.196,0.153,0.166,-5.069,0.0492,120.255,2007,energetic,2007
9 Crimes,9,Damien Rice,http://open.spotify.com/track/5GZEeowhvSieFDiR8fQ2im,2006-11-06,60,217946,0.346,0.913,0.139,7.730000000000001e-05,0.0934,0.116,-15.326,0.0321,136.168,2006,calm,2006
A Boy Brushed Red Living In Black And White,They're Only Chasing Safety,Underoath,http://open.spotify.com/track/47IWLfIKOKhFnz1FUEUIkE,2004-01-01,60,268000,0.419,0.00171,0.932,0.0,0.1369999999999999,0.445,-3.604,0.106,169.88099999999997,2004,energetic,2004
A Burden to Bear,A Burden to Bear,Emmanuelle Rimbaud,http://open.spotify.com/track/67DOFCrkcQaLp5yhzF8Y8N,2020-07-31,27,129410,0.394,0.995,0.0475,0.955,0.105,0.172,-26.432,0.072,71.241,2020,calm,2020
A La Plage,A La Plage,Ron Adelaar,http://open.spotify.com/track/79NmiFAgcXUIVDGfCWDdWF,2020-08-07,29,141888,0.504,0.994,0.0584,0.956,0.115,0.5529999999999999,-20.461,0.0516,134.209,2020,calm,2020
A Place for My Head,Hybrid Theory (Bonus Edition),Linkin Park,http://open.spotify.com/track/5rAxhWcgFng3s570sGO2F8,2000-10-24,68,184640,0.603,0.0144,0.908,0.0,0.6709999999999999,0.457,-5.254,0.184,133.063,2000,energetic,2000
ATTACK,A Beautiful Lie + 30 Seconds To Mars,Thirty Seconds To Mars,http://open.spotify.com/track/6QxTWEvzcJljVZaeTzuHF1,2007-05-15,0,189200,0.331,0.00344,0.8759999999999999,0.0008349999999999999,0.732,0.299,-1.894,0.0603,175.009,2007,energetic,2007
Adagio For Strings,Adagio For Strings,Lucas & Steve,http://open.spotify.com/track/1RvDsjCBDTES3lPiEGNNMY,2018-11-09,55,197189,0.349,0.000877,0.7929999999999999,0.431,0.22,0.0398,-6.747999999999998,0.0677,127.139,2018,energetic,2018
Adrift,Adrift,Cooper Sams,http://open.spotify.com/track/3TNNGjgOQ7O8vwAlvlD9Fg,2018-03-21,53,158117,0.382,0.4970000000000001,0.333,0.918,0.106,0.0486,-15.573,0.0367,84.97399999999998,2018,sad,2018
Afraid of Heights,Afraid of Heights,Billy Talent,http://open.spotify.com/track/0P44AUPRzaIAHNWquN0fGR,2016-07-29,38,225680,0.5429999999999999,0.000168,0.991,1.31e-05,0.374,0.7659999999999999,-2.78,0.0668,150.031,2016,energetic,2016
After The Rain,After The Rain,Comet Blue,http://open.spotify.com/track/2XBc2jWnvPqNO2LebVtLaY,2020-08-03,24,116625,0.456,0.993,0.0337,0.948,0.126,0.3,-26.87,0.0334,97.199,2020,calm,2020
Afterlife,Avenged Sevenfold,Avenged Sevenfold,http://open.spotify.com/track/4QdwsME04RG25KPHcPYoox,2007-10-30,13,351560,0.4920000000000001,0.000444,0.95,6.22e-05,0.22,0.391,-4.195,0.076,110.027,2007,angry,2007
Algo Rhythm,Temporär Musik 1-13,One Sentence. Supervisor,http://open.spotify.com/track/0PqJ7LSknltqqMNqPDClNA,2016-10-28,0,210626,0.402,1.19e-05,0.75,0.959,0.122,0.58,-7.358,0.0293,149.941,2016,energetic,2016
Alive,Alive,Paris Blohm,http://open.spotify.com/track/2rPJcL8gQauA2nBdRyNZZL,2018-11-16,51,180468,0.494,0.00248,0.847,0.0,0.0502,0.148,-3.996,0.0537,129.909,2018,energetic,2018
